Year,Année,ISO,Jurisdiction,Juridiction,Category,Catégorie,Species group,"Groupe d'espèces",Tenure (En),Tenure (Fr),Volume (cubic metres) (En),Data qualifier,Volume (en mètre cube) (Fr),Qualificatifs de données
1940,1940,AB,Alberta,Alberta,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,1466000,a,1466000,a
1940,1940,AB,Alberta,Alberta,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,275000,a,275000,a
1940,1940,AB,Alberta,Alberta,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1499000,a,1499000,a
1940,1940,BC,British Columbia,Colombie-Britannique,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,16178000,a,16178000,a
1940,1940,BC,British Columbia,Colombie-Britannique,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,1728000,a,1728000,a
1940,1940,BC,British Columbia,Colombie-Britannique,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,362000,a,362000,a
1940,1940,BC,British Columbia,Colombie-Britannique,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,595000,a,595000,a
1940,1940,MB,Manitoba,Manitoba,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,444000,a,444000,a
1940,1940,MB,Manitoba,Manitoba,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,225000,a,225000,a
1940,1940,MB,Manitoba,Manitoba,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,99000,a,99000,a
1940,1940,MB,Manitoba,Manitoba,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1204000,a,1204000,a
1940,1940,NB,New Brunswick,Nouveau-Brunswick,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,977000,a,977000,a
1940,1940,NB,New Brunswick,Nouveau-Brunswick,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,1755000,,1755000,a
1940,1940,NB,New Brunswick,Nouveau-Brunswick,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,1851000,a,1851000,a
1940,1940,NB,New Brunswick,Nouveau-Brunswick,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,226000,a,226000,a
1940,1940,NS,Nova Scotia,Nouvelle-Écosse,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,2296000,a,2296000,a
1940,1940,NS,Nova Scotia,Nouvelle-Écosse,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,736000,a,736000,a
1940,1940,NS,Nova Scotia,Nouvelle-Écosse,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,243000,a,243000,a
1940,1940,NS,Nova Scotia,Nouvelle-Écosse,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,862000,a,862000,a
1940,1940,ON,Ontario,Ontario,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,3497000,a,3497000,a
1940,1940,ON,Ontario,Ontario,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,4772000,a,4772000,a
1940,1940,ON,Ontario,Ontario,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,312000,a,312000,a
1940,1940,ON,Ontario,Ontario,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,4624000,a,4624000,a
1940,1940,PE,Prince Edward Island,Île-du-Prince-Édouard,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,31000,a,31000,a
1940,1940,PE,Prince Edward Island,Île-du-Prince-Édouard,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,5000,a,5000,a
1940,1940,PE,Prince Edward Island,Île-du-Prince-Édouard,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,12000,a,12000,a
1940,1940,PE,Prince Edward Island,Île-du-Prince-Édouard,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,289000,a,289000,a
1940,1940,QC,Quebec,Québec,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,5920000,a,5920000,a
1940,1940,QC,Quebec,Québec,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,11645000,a,11645000,a
1940,1940,QC,Quebec,Québec,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,413000,a,413000,a
1940,1940,QC,Quebec,Québec,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,7635000,a,7635000,a
1940,1940,SK,Saskatchewan,Saskatchewan,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,1036000,a,1036000,a
1940,1940,SK,Saskatchewan,Saskatchewan,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,19000,a,19000,a
1940,1940,SK,Saskatchewan,Saskatchewan,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,166000,a,166000,a
1940,1940,SK,Saskatchewan,Saskatchewan,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1995000,a,1995000,a
1940,1940,YT,Yukon,Yukon,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,2000,a,2000,a
1940,1940,YT,Yukon,Yukon,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,1000,a,1000,a
1940,1940,YT,Yukon,Yukon,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1940,1940,YT,Yukon,Yukon,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,52000,a,52000,a
1941,1941,AB,Alberta,Alberta,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,1869000,a,1869000,a
1941,1941,AB,Alberta,Alberta,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,233000,a,233000,a
1941,1941,AB,Alberta,Alberta,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1534000,a,1534000,a
1941,1941,BC,British Columbia,Colombie-Britannique,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,15999000,a,15999000,a
1941,1941,BC,British Columbia,Colombie-Britannique,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,1891000,a,1891000,a
1941,1941,BC,British Columbia,Colombie-Britannique,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,386000,a,386000,a
1941,1941,BC,British Columbia,Colombie-Britannique,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,664000,a,664000,a
1941,1941,MB,Manitoba,Manitoba,Logs and bolts,Billes et billots,Unspecified,Indéterminée,Unspecified,Indéterminée,486000,a,486000,a
1941,1941,MB,Manitoba,Manitoba,Pulpwood,Bois à pâte,Unspecified,Indéterminée,Unspecified,Indéterminée,208000,a,208000,a
1941,1941,MB,Manitoba,Manitoba,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indéterminée,Unspecified,Indéterminée,60000,a,60000,a
1941,1941,MB,Manitoba,Manitoba,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,1411000,a,1411000,a
1941,1941,NB,New Brunswick,Nouveau-Brunswick,Fuelwood*b and firewood*c,Bois de chauffage*b et de foyer*c,Unspecified,Indéterminée,Unspecified,Indéterminée,950000,a,950000,a
