Year,Année,ISO,Jurisdiction,Juridiction,Product,Produit,Area (hectares),Data qualifier,Superficie (en hectare),Qualificatifs de données
1988,1988,AB,Alberta,Alberta,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),,u,,u
1988,1988,AB,Alberta,Alberta,Fenitrothion,Fénitrothion,0,a,0,a
1988,1988,AB,Alberta,Alberta,Other insecticides,Autres insecticides,0,a,0,a
1988,1988,BC,British Columbia,Colombie-Britannique,Other insecticides,Autres insecticides,0,a,0,a
1988,1988,BC,British Columbia,Colombie-Britannique,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),2200,a,2200,a
1988,1988,BC,British Columbia,Colombie-Britannique,Fenitrothion,Fénitrothion,0,a,0,a
1988,1988,MB,Manitoba,Manitoba,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),1182,a,1182,a
1988,1988,MB,Manitoba,Manitoba,Fenitrothion,Fénitrothion,0,a,0,a
1988,1988,MB,Manitoba,Manitoba,Other insecticides,Autres insecticides,0,a,0,a
1988,1988,NB,New Brunswick,Nouveau-Brunswick,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),215910,a,215910,a
1988,1988,NB,New Brunswick,Nouveau-Brunswick,Fenitrothion,Fénitrothion,339990,a,339990,a
1988,1988,NB,New Brunswick,Nouveau-Brunswick,Other insecticides,Autres insecticides,0,a,0,a
1988,1988,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),23800,a,23800,a
1988,1988,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fenitrothion,Fénitrothion,45138,a,45138,a
1988,1988,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other insecticides,Autres insecticides,135,a,135,a
1988,1988,NS,Nova Scotia,Nouvelle-Écosse,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1988,1988,NS,Nova Scotia,Nouvelle-Écosse,Fenitrothion,Fénitrothion,0,a,0,a
1988,1988,NS,Nova Scotia,Nouvelle-Écosse,Other insecticides,Autres insecticides,0,a,0,a
1988,1988,NT,Northwest Territories,Territoires du Nord-Ouest,Other insecticides,Autres insecticides,0,a,0,a
1988,1988,NT,Northwest Territories,Territoires du Nord-Ouest,Fenitrothion,Fénitrothion,0,a,0,a
1988,1988,NT,Northwest Territories,Territoires du Nord-Ouest,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1988,1988,ON,Ontario,Ontario,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),28007,a,28007,a
1988,1988,ON,Ontario,Ontario,Fenitrothion,Fénitrothion,0,a,0,a
1988,1988,ON,Ontario,Ontario,Other insecticides,Autres insecticides,0,a,0,a
1988,1988,PE,Prince Edward Island,Île-du-Prince-Édouard,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1988,1988,PE,Prince Edward Island,Île-du-Prince-Édouard,Fenitrothion,Fénitrothion,0,a,0,a
1988,1988,PE,Prince Edward Island,Île-du-Prince-Édouard,Other insecticides,Autres insecticides,0,a,0,a
1988,1988,QC,Quebec,Québec,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),192073,a,192073,a
1988,1988,QC,Quebec,Québec,Fenitrothion,Fénitrothion,0,a,0,a
1988,1988,QC,Quebec,Québec,Other insecticides,Autres insecticides,0,a,0,a
1988,1988,SK,Saskatchewan,Saskatchewan,Other insecticides,Autres insecticides,0,a,0,a
1988,1988,SK,Saskatchewan,Saskatchewan,Fenitrothion,Fénitrothion,0,a,0,a
1988,1988,SK,Saskatchewan,Saskatchewan,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1988,1988,YT,Yukon,Yukon,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1988,1988,YT,Yukon,Yukon,Fenitrothion,Fénitrothion,0,a,0,a
1988,1988,YT,Yukon,Yukon,Other insecticides,Autres insecticides,0,a,0,a
1989,1989,AB,Alberta,Alberta,Other insecticides,Autres insecticides,0,a,0,a
1989,1989,AB,Alberta,Alberta,Fenitrothion,Fénitrothion,0,a,0,a
1989,1989,AB,Alberta,Alberta,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),1000,a,1000,a
1989,1989,BC,British Columbia,Colombie-Britannique,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),1338,a,1338,a
1989,1989,BC,British Columbia,Colombie-Britannique,Fenitrothion,Fénitrothion,0,a,0,a
1989,1989,BC,British Columbia,Colombie-Britannique,Other insecticides,Autres insecticides,627,a,627,a
1989,1989,MB,Manitoba,Manitoba,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),5400,a,5400,a
1989,1989,MB,Manitoba,Manitoba,Fenitrothion,Fénitrothion,0,a,0,a
1989,1989,MB,Manitoba,Manitoba,Other insecticides,Autres insecticides,0,a,0,a
1989,1989,NB,New Brunswick,Nouveau-Brunswick,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),106878,a,106878,a
1989,1989,NB,New Brunswick,Nouveau-Brunswick,Fenitrothion,Fénitrothion,501000,a,501000,a
1989,1989,NB,New Brunswick,Nouveau-Brunswick,Other insecticides,Autres insecticides,0,a,0,a
1989,1989,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),5356,a,5356,a
1989,1989,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Fenitrothion,Fénitrothion,0,a,0,a
1989,1989,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other insecticides,Autres insecticides,0,a,0,a
1989,1989,NS,Nova Scotia,Nouvelle-Écosse,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
1989,1989,NS,Nova Scotia,Nouvelle-Écosse,Fenitrothion,Fénitrothion,0,a,0,a
1989,1989,NS,Nova Scotia,Nouvelle-Écosse,Other insecticides,Autres insecticides,0,a,0,a
1989,1989,NT,Northwest Territories,Territoires du Nord-Ouest,Other insecticides,Autres insecticides,0,a,0,a
1989,1989,NT,Northwest Territories,Territoires du Nord-Ouest,B.t. (Bacillus thuringiensis),B.t. (Bacillus thuringiensis),0,a,0,a
