Year,Année,ISO,Jurisdiction,Juridiction,Treatment,Traitement,Tenure (En),Tenure (Fr),Area (hectares),Data qualifier,Superficie (en hectare),Qualificatifs de données
1975,1975,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1975,1975,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,16644,a,16644,a
1975,1975,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,0,a,0,a
1975,1975,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1975,1975,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,73809,a,73809,a
1975,1975,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,8464,r,8464,r
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,10100,a,10100,a
1975,1975,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1975,1975,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,595,a,595,a
1975,1975,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1975,1975,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,595,a,595,a
1975,1975,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1975,1975,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,3008,a,3008,a
1975,1975,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,Unspecified,Indéterminée,3918,a,3918,a
1975,1975,YT,Yukon,Yukon,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1976,1976,AB,Alberta,Alberta,Chemical treatment,Traitement chimique,Provincial land,Terres provinciales,0,a,0,a
1976,1976,AB,Alberta,Alberta,Mechanical treatment*c,Traitement mécanique*c,Provincial land,Terres provinciales,14619,a,14619,a
1976,1976,AB,Alberta,Alberta,Other*d,Autres*d,Provincial land,Terres provinciales,11,a,11,a
1976,1976,AB,Alberta,Alberta,Prescribed burning*b,Brûlage dirigé*b,Provincial land,Terres provinciales,0,a,0,a
1976,1976,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,Unspecified,Indéterminée,77249,a,77249,a
1976,1976,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,4038,a,4038,a
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,11000,a,11000,a
1976,1976,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1976,1976,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,634,a,634,a
1976,1976,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,Unspecified,Indéterminée,0,a,0,a
1976,1976,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,634,a,634,a
1976,1976,PE,Prince Edward Island,Île-du-Prince-Éduard,Unspecified,Indéterminée,Unspecified,Indéterminée,48,a,48,a
1976,1976,QC,Quebec,Québec,Unspecified,Indéterminée,Unspecified,Indéterminée,2570,a,2570,a
