Year,Année,ISO,Jurisdiction,Juridiction,Revenues,Revenus,Value (dollars),Data qualifier,Valeur (en dollar),Qualificatifs de données
1990,1990,AB,Alberta,Alberta,Stumpage charges,Droits de coupe,,u,,u
1990,1990,AB,Alberta,Alberta,Rent charges,Frais de location,,n,,n
1990,1990,AB,Alberta,Alberta,Area/holding charges,Droits de location ou de jouissance,,u,,u
1990,1990,AB,Alberta,Alberta,Reforestation levies,Droits de reboisement,,u,,u
1990,1990,AB,Alberta,Alberta,Protection fees,Coût de protection du territoire,,n,,n
1990,1990,AB,Alberta,Alberta,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",,u,,u
1990,1990,AB,Alberta,Alberta,Sales and rentals,Ventes et locations,,u,,u
1990,1990,AB,Alberta,Alberta,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",,u,,u
1990,1990,BC,British Columbia,Colombie-Britannique,Stumpage charges,Droits de coupe,534915000,a,534915000,a
1990,1990,BC,British Columbia,Colombie-Britannique,Rent charges,Frais de location,17263000,a,17263000,a
1990,1990,BC,British Columbia,Colombie-Britannique,Area/holding charges,Droits de location ou de jouissance,,u,,u
1990,1990,BC,British Columbia,Colombie-Britannique,Reforestation levies,Droits de reboisement,,u,,u
1990,1990,BC,British Columbia,Colombie-Britannique,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",7566000,a,7566000,a
1990,1990,BC,British Columbia,Colombie-Britannique,Sales and rentals,Ventes et locations,,u,,u
1990,1990,BC,British Columbia,Colombie-Britannique,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",1440000,a,1440000,a
1990,1990,BC,British Columbia,Colombie-Britannique,Protection fees,Coût de protection du territoire,,u,,u
1990,1990,MB,Manitoba,Manitoba,Stumpage charges,Droits de coupe,2080000,a,2080000,a
1990,1990,MB,Manitoba,Manitoba,Rent charges,Frais de location,0,a,0,a
1990,1990,MB,Manitoba,Manitoba,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1990,1990,MB,Manitoba,Manitoba,Reforestation levies,Droits de reboisement,0,a,0,a
1990,1990,MB,Manitoba,Manitoba,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",45000,a,45000,a
1990,1990,MB,Manitoba,Manitoba,Sales and rentals,Ventes et locations,186000,a,186000,a
1990,1990,MB,Manitoba,Manitoba,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",0,a,0,a
1990,1990,MB,Manitoba,Manitoba,Protection fees,Coût de protection du territoire,136000,a,136000,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Stumpage charges,Droits de coupe,,u,,u
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Rent charges,Frais de location,,u,,u
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Reforestation levies,Droits de reboisement,0,a,0,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",,u,,u
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Sales and rentals,Ventes et locations,,u,,u
1990,1990,NB,New Brunswick,Nouveau-Brunswick,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",,u,,u
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Protection fees,Coût de protection du territoire,,u,,u
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Stumpage charges,Droits de coupe,1000000,a,1000000,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Rent charges,Frais de location,0,a,0,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Reforestation levies,Droits de reboisement,0,a,0,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",206000,a,206000,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Sales and rentals,Ventes et locations,9000,a,9000,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",2000,a,2000,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Protection fees,Coût de protection du territoire,0,a,0,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Stumpage charges,Droits de coupe,1823000,a,1823000,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Rent charges,Frais de location,0,a,0,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Area/holding charges,Droits de location ou de jouissance,0,a,0,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Reforestation levies,Droits de reboisement,0,a,0,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",0,a,0,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Sales and rentals,Ventes et locations,0,a,0,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",0,a,0,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Protection fees,Coût de protection du territoire,0,a,0,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Reforestation levies,Droits de reboisement,,u,,u
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Area/holding charges,Droits de location ou de jouissance,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Rent charges,Frais de location,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Stumpage charges,Droits de coupe,,u,,u
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",0,a,0,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Sales and rentals,Ventes et locations,,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",,n,,n
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Protection fees,Coût de protection du territoire,,n,,n
1990,1990,ON,Ontario,Ontario,Stumpage charges,Droits de coupe,67493000,a,67493000,a
1990,1990,ON,Ontario,Ontario,Rent charges,Frais de location,0,a,0,a
1990,1990,ON,Ontario,Ontario,Area/holding charges,Droits de location ou de jouissance,10095000,a,10095000,a
1990,1990,ON,Ontario,Ontario,Reforestation levies,Droits de reboisement,0,a,0,a
1990,1990,ON,Ontario,Ontario,Permit and licence fees (export fees),"Permis et frais de tenure (frais d'exportation)",1000,a,1000,a
1990,1990,ON,Ontario,Ontario,Sales and rentals,Ventes et locations,0,a,0,a
1990,1990,ON,Ontario,Ontario,"Other (bonuses, penalties, interest charges)","Autres (suppléments, amendes, frais d'intérêts)",258000,a,258000,a
1990,1990,ON,Ontario,Ontario,Protection fees,Coût de protection du territoire,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Stumpage charges,Droits de coupe,141000,a,141000,a
