Name,Comment,Time,Likes,Reply Count,cleaned_comments
@andrewssd,Its not climate change. Btw. Alot if the fires started exactly at the same time in the same area and province.,2023-12-16T21:03:44Z,0,0.0,its not climate change btw alot if the fires started exactly at the same time in the same area and province
@roycantrell7500,Even the demons know him and fear him who are you that you do not?,2023-09-16T21:40:33Z,1,0.0,even the demons know him and fear him who are you that you do not
@roycantrell7500,Did you Google god seen in the clouds sift thru the pictures.  Revelations 1:7 the world is wailing and wailing  climate change.  But the will wail wrath of the lamb in the end  repent now,2023-09-16T21:39:26Z,1,0.0,did you google god seen in the clouds sift thru the pictures revelations 1 7 the world is wailing and wailing climate change but the will wail wrath of the lamb in the end repent now
@semperparatus678,CNN aka Communist News Network. Suprised you idiots are still in business.,2023-09-16T12:42:54Z,0,0.0,cnn aka communist news network suprised you idiots are still in business
@imopman,Worked up north for years the local natives would start to line up at the agency that would hire them to help fight fires a couple hours before a fire was reported and ONLY on those days. This happened EVERY YEAR.,2023-09-16T12:07:17Z,0,0.0,worked up north for years the local natives would start to line up at the agency that would hire them to help fight fires a couple hours before a fire was reported and only on those days this happened every year
@vidadormer8995,Copycat arsonists responsible….gone from county to county….the pattern is clear to see….why did the authorities not prepare for months ago to prevent wild fires by doing controlled fire burns of dry bush in advance and cutting down building fire-breaks….Environmental Management strategies need to be Implemented well in advance to prevent this disasters from happening 😮😡,2023-09-12T12:44:09Z,0,0.0,copycat arsonists responsible gone from county to county the pattern is clear to see why did the authorities not prepare for months ago to prevent wild fires by doing controlled fire burns of dry bush in advance and cutting down building fire breaks environmental management strategies need to be implemented well in advance to prevent this disasters from happening
@jereking7560,So this is it ☹️,2023-09-11T03:02:28Z,1,0.0,so this is it
@TheDriller571,So the smoke is from fires in Western Canada. Quebec is not in Western Canada. It is on the Eastern Side of Canada.,2023-09-06T22:03:03Z,0,0.0,so the smoke is from fires in western canada quebec is not in western canada it is on the eastern side of canada
@blavkadam2153,rip 30% of the worlds trees,2023-09-02T19:06:53Z,1,0.0,rip 30 of the worlds trees
@blavkadam2153,"So much carbon dioxide, time for a volcano experiment",2023-09-02T19:05:35Z,0,0.0,so much carbon dioxide time for a volcano experiment
@rachelmishal7281,נחת.תמשיכו להזיק ולרצוח את עצמכם ואת משפחותיכם!,2023-08-27T10:20:56Z,0,0.0,
@jezebeljones659,"Our provinces are larger than many countries. We have a very big country and it's not totally on fire -- yet.And you folks south of the border getting all the smoke? What can I say but, on behalf of the forces of nature (which are unlikely to apologize) sorry.",2023-08-26T19:19:14Z,0,0.0,our provinces are larger than many countries we have a very big country and it s not totally on fire yet and you folks south of the border getting all the smoke what can i say but on behalf of the forces of nature which are unlikely to apologize sorry
@ambikox3530,C’est Manon des Sources!,2023-08-24T01:55:29Z,0,0.0,c est manon des sources
@tuffy16,"Fun fact Alberta has Two big oil refinery plants Suncor, Syncrude and multiple other's. This are Where all of Canada electricity is generated if they fall Canada is in the dark. No electricity no Gasoline no heat no nothing....",2023-08-23T05:10:42Z,0,1.0,fun fact alberta has two big oil refinery plants suncor syncrude and multiple other s this are where all of canada electricity is generated if they fall canada is in the dark no electricity no gasoline no heat no nothing
@cmccullough12C,And false comments,2023-08-26T23:30:44Z,0,,and false comments
@rosameryrojas-delcerro1059,Would we do the same for Mexico? Nope. We don't even do this for Puerto Rico.,2023-08-22T21:08:13Z,0,0.0,would we do the same for mexico nope we don t even do this for puerto rico
@SouthCentralOntario,I'm from Ontario and I can't thank our American brothers enough. We need all the help we can get.,2023-08-22T07:37:27Z,0,0.0,i m from ontario and i can t thank our american brothers enough we need all the help we can get
@endaleassefa6529,"I pray for Canadian, particularly for those affected by the wild life. Let God be with you all. Heart breaking.",2023-08-21T08:54:13Z,0,0.0,i pray for canadian particularly for those affected by the wild life let god be with you all heart breaking
@JJTurnerr,Thanks to all the American brothers and sisters helping us Canadians.,2023-08-21T06:48:33Z,0,0.0,thanks to all the american brothers and sisters helping us canadians
@dominiquebalabat197,"SCIENCE? Polarized lasers? Read your bibles. Eventually, these demons will run out of ""sciences"" and blame it to God without shame! You made these people unbelievers. Now, this is what you get. it's coming to you directly. wait for it because i'm waiting for it.",2023-08-19T06:56:38Z,1,0.0,science polarized lasers read your bibles eventually these demons will run out of sciences and blame it to god without shame you made these people unbelievers now this is what you get it s coming to you directly wait for it because i m waiting for it
@brandoblack3732,Your government did that cnn you clowns,2023-08-18T22:27:21Z,1,0.0,your government did that cnn you clowns
@user-zz5hm1xn6l,"NY is impacted by north western  Canadian fires? Really.
Quebec is not northwestern  . Prayers",2023-08-17T23:11:59Z,0,0.0,ny is impacted by north western canadian fires really quebec is not northwestern prayers
@russell7489,"Really, CAN'T stop it?  So all it takes are a few burning trees to obliterate all of Canada.  I suggest the Canadian gov't divert some monies from social services, or here's an idea TAXING ITS OUT OF CONTROL OIL INDUSTRY.  I assume the entire military has been sent to cut fire lines with all the equipment available.  That the gov't commandered the MASSIVE bulldozers that are used by the 1000s by miners to strip the forests and fields across the nation.  It is IMPOSSIBLE that the 10,000's of military cannot cut enough fire line to stop this.  Canada isn't trying, because why, it's not burning mines or oil sands, just a few scattered homes so who cares 100,000's have to breath in crap - they were from oil sands ops and mine wastes already.",2023-08-17T19:10:14Z,0,0.0,really can t stop it so all it takes are a few burning trees to obliterate all of canada i suggest the canadian gov t divert some monies from social services or here s an idea taxing its out of control oil industry i assume the entire military has been sent to cut fire lines with all the equipment available that the gov t commandered the massive bulldozers that are used by the 1000s by miners to strip the forests and fields across the nation it is impossible that the 10 000 s of military cannot cut enough fire line to stop this canada isn t trying because why it s not burning mines or oil sands just a few scattered homes so who cares 100 000 s have to breath in crap they were from oil sands ops and mine wastes already
@user-fe7nx9uk8r,"Nobody is asking the right questions, where do these fires come from",2023-08-17T19:05:32Z,0,0.0,nobody is asking the right questions where do these fires come from
@billjue1753,"How come no news of ""save the world green group"" putting boots on to fight this fire. Enough wood burned to power every wood stove for 500 years, every wood pizza oven for 2000 years. Thanks for your dedication to save the earth.😢😢😢😢😢",2023-08-16T16:01:01Z,0,0.0,how come no news of save the world green group putting boots on to fight this fire enough wood burned to power every wood stove for 500 years every wood pizza oven for 2000 years thanks for your dedication to save the earth
@allashama,"those fire are not natural nor normal.. those are evil and man made. Who started those fires? who control the weather? we'll have to hurry up and ASK QUESTIONS!!

Chemtrails are real, wake the freaking up! there is a difference between Con. and Chem. 

Geo ingeneering is only 1 of multiple attack. Haarp is an other one, used to manipulate the climate. they can create drough, heavy rain, heavy cold or snow, heavy heat wave.. This is not natural or made by God. so Wake up guys.",2023-08-16T04:11:13Z,1,0.0,those fire are not natural nor normal those are evil and man made who started those fires who control the weather we ll have to hurry up and ask questions chemtrails are real wake the freaking up there is a difference between con and chem geo ingeneering is only 1 of multiple attack haarp is an other one used to manipulate the climate they can create drough heavy rain heavy cold or snow heavy heat wave this is not natural or made by god so wake up guys
@mikeg3792,Canada can't pay you we are broke Trudeau and the UN stole or money,2023-08-14T03:52:53Z,0,0.0,canada can t pay you we are broke trudeau and the un stole or money
@mikeg3792,and all the news channels will say its from GLOBAL BOILING wait and watch,2023-08-14T03:51:33Z,0,0.0,and all the news channels will say its from global boiling wait and watch
@natedawg8778,25 Million acres. 😮,2023-08-13T21:53:52Z,0,0.0,25 million acres
@cybilmerritt505,"Biden needs to worry about nuclear power plants that are at risk of catching on fire!  Those plants creat nuclear fission that will explode like a nuclear bomb if fire melts that facility and they are all over the place, in the US, on top of chemical plants that make all kinds of products.  This, is more then just about a fire, which is bad enough, already!",2023-08-12T00:43:18Z,0,0.0,biden needs to worry about nuclear power plants that are at risk of catching on fire those plants creat nuclear fission that will explode like a nuclear bomb if fire melts that facility and they are all over the place in the us on top of chemical plants that make all kinds of products this is more then just about a fire which is bad enough already
